state,x,y
Abia,-55.0,-158.0
Adamawa,133.0,12.0
Akwa Ibom,-48.0,-199.0
Anambra,-100.0,-136.0
Bauchi,33.0,56.0
Bayelsa,-132.0,-201.0
Benue,1.0,-81.0
Borno,198.0,123.0
Cross River,-30.0,-158.0
Delta,-122.0,-161.0
Ebonyi,-43.0,-124.0
Edo,-124.0,-110.0
Ekiti,-159.0,-68.0
Enugu,-67.0,-111.0
Gombe,92.0,59.0
Imo,-80.0,-164.0
Jigawa,23.0,130.0
Kaduna,-56.0,57.0
Kano,-20.0,120.0
Katsina,-63.0,150.0
Kebbi,-210.0,123.0
Kogi,-94.0,-70.0
Kwara,-178.0,-28.0
Lagos,-236.0,-120.0
Nasarawa,-45.0,-30.0
Niger,-135.0,24.0
Ogun,-245.0,-98.0
Ondo,-158.0,-95.0
Osun,-194.0,-78.0
Oyo,-233.0,-50.0
Plateau,28.0,-5.0
Rivers,-96.0,-188.0
Sokoto,-157.0,170.0
Taraba,69.0,-50.0
Yobe,111.0,136.0
Zamfara,-130.0,119.0
Abuja,-80.0,-17.0
